round_num,vignette_id,agent_id,communication_style,assessment_choice,assessment_confidence,bid_amount,was_proposer,proposal_cost,intervention_cost,final_vote,agent_reward,agent_total_cost,budget_remaining
1,ethics_mh_002,agent_00,calibrated,Delay deployment until more diverse data improves model fairness.,0.950,1.000000,1,1.278000,0.000000,Delay deployment until more diverse data improves model fairness.,-0.778000,1.278000,0.722000
1,ethics_mh_002,agent_01,timid,Delay deployment until more diverse data improves model fairness.,0.950,0.508980,0,0.000000,0.320000,Delay deployment until more diverse data improves model fairness.,0.180000,0.320000,0.680000
1,ethics_mh_002,agent_02,calibrated,Delay deployment until more diverse data improves model fairness.,0.950,1.000000,0,0.000000,0.336000,Delay deployment until more diverse data improves model fairness.,0.164000,0.336000,0.664000
1,ethics_mh_002,agent_03,assertive,Delay deployment until more diverse data improves model fairness.,0.950,1.000000,0,0.000000,0.329000,Delay deployment until more diverse data improves model fairness.,0.171000,0.329000,0.671000
1,ethics_mh_002,agent_04,calibrated,Delay deployment until more diverse data improves model fairness.,0.950,0.934146,0,0.000000,0.303000,Delay deployment until more diverse data improves model fairness.,0.197000,0.303000,0.697000
1,ethics_mh_002,agent_05,timid,Delay deployment until more diverse data improves model fairness.,0.950,0.321421,0,0.000000,0.333000,Delay deployment until more diverse data improves model fairness.,0.167000,0.333000,0.667000
1,ethics_mh_002,agent_06,neutral,Delay deployment until more diverse data improves model fairness.,0.950,1.000000,0,0.000000,0.342000,Delay deployment until more diverse data improves model fairness.,0.158000,0.342000,0.658000
1,ethics_mh_002,agent_07,timid,Delay deployment until more diverse data improves model fairness.,0.950,0.532800,0,0.000000,0.336000,Delay deployment until more diverse data improves model fairness.,0.164000,0.336000,0.664000
1,ethics_mh_002,agent_08,calibrated,Delay deployment until more diverse data improves model fairness.,0.950,0.930821,0,0.000000,0.336000,Delay deployment until more diverse data improves model fairness.,0.164000,0.336000,0.664000
1,ethics_mh_002,agent_09,neutral,Delay deployment until more diverse data improves model fairness.,0.950,0.953850,0,0.000000,0.335000,Delay deployment until more diverse data improves model fairness.,0.165000,0.335000,0.665000
1,ethics_mh_002,agent_10,assertive,Delay deployment until more diverse data improves model fairness.,0.950,1.000000,0,0.000000,0.315000,Delay deployment until more diverse data improves model fairness.,0.185000,0.315000,0.685000
1,ethics_mh_002,agent_11,calibrated,Delay deployment until more diverse data improves model fairness.,0.950,0.865255,0,0.000000,0.362000,Delay deployment until more diverse data improves model fairness.,0.138000,0.362000,0.638000
1,ethics_mh_002,agent_12,neutral,Delay deployment until more diverse data improves model fairness.,0.950,0.978404,0,0.000000,0.352000,Delay deployment until more diverse data improves model fairness.,0.148000,0.352000,0.648000
1,ethics_mh_002,agent_13,assertive,Delay deployment until more diverse data improves model fairness.,0.950,1.000000,0,0.000000,0.361000,Delay deployment until more diverse data improves model fairness.,0.139000,0.361000,0.639000
1,ethics_mh_002,agent_14,timid,Delay deployment until more diverse data improves model fairness.,0.950,0.444496,0,0.000000,0.314000,Delay deployment until more diverse data improves model fairness.,0.186000,0.314000,0.686000
1,ethics_mh_002,agent_15,assertive,Delay deployment until more diverse data improves model fairness.,0.950,1.000000,0,0.000000,0.317000,Delay deployment until more diverse data improves model fairness.,0.183000,0.317000,0.683000
1,ethics_mh_002,agent_16,neutral,Delay deployment until more diverse data improves model fairness.,0.950,0.937077,0,0.000000,0.310000,Delay deployment until more diverse data improves model fairness.,0.190000,0.310000,0.690000
